ofac_id,uk_id,explanation
8231,8384,ofac_id: 8231 has a jaccard distance of 0.0 with uk_id: 8384 from the name column
8232,8385,ofac_id: 8232 has a jaccard distance of 0.040000000000000036 with uk_id: 8385 from the name column
8258,8428,ofac_id: 8258 has a jaccard distance of 0.2068965517241379 with uk_id: 8428 from the name column
8259,8429,ofac_id: 8259 has a jaccard distance of 0.2222222222222222 with uk_id: 8429 from the name column
8261,8430,ofac_id: 8261 has a jaccard distance of 0.22580645161290325 with uk_id: 8430 from the name column
8262,8424,ofac_id: 8262 has a jaccard distance of 0.20588235294117652 with uk_id: 8424 from the name column
8264,8425,ofac_id: 8264 has a jaccard distance of 0.0 with uk_id: 8425 from the name column
8272,8421,ofac_id: 8272 has a jaccard distance of 0.16666666666666663 with uk_id: 8421 from the name column
8405,7818,ofac_id: 8405 has a jaccard distance of 0.04166666666666663 with uk_id: 7818 from the name column
8408,7817,ofac_id: 8408 has a jaccard distance of 0.2222222222222222 with uk_id: 7817 from the name column
8759,13831,ofac_id: 8759 has a jaccard distance of 0.22580645161290325 with uk_id: 13831 from the name column
8883,8681,ofac_id: 8883 has a jaccard distance of 0.0 with uk_id: 8681 from the name column
8885,8635,ofac_id: 8885 has a jaccard distance of 0.0 with uk_id: 8635 from the name column
9331,8695,ofac_id: 9331 has a jaccard distance of 0.0 with uk_id: 8695 from the name column
9334,8652,ofac_id: 9334 has a jaccard distance of 0.052631578947368474 with uk_id: 8652 from the name column
9345,10892,ofac_id: 9345 has a jaccard distance of 0.027027027027026973 with uk_id: 10892 from the name column
9346,10894,ofac_id: 9346 has a jaccard distance of 0.045454545454545414 with uk_id: 10894 from the name column
9347,10893,ofac_id: 9347 has a jaccard distance of 0.03448275862068961 with uk_id: 10893 from the name column
9348,9102,ofac_id: 9348 has a jaccard distance of 0.1428571428571429 with uk_id: 9102 from the name column
9349,8992,ofac_id: 9349 has a jaccard distance of 0.17142857142857137 with uk_id: 8992 from the name column
9353,8697,ofac_id: 9353 has a jaccard distance of 0.0 with uk_id: 8697 from the name column
9354,8698,ofac_id: 9354 has a jaccard distance of 0.0 with uk_id: 8698 from the name column
9519,12442,ofac_id: 9519 has a jaccard distance of 0.04761904761904767 with uk_id: 12442 from the name column
9520,12449,ofac_id: 9520 has a jaccard distance of 0.0 with uk_id: 12449 from the name column
9521,12443,ofac_id: 9521 has a jaccard distance of 0.02941176470588236 with uk_id: 12443 from the name column
9523,12445,ofac_id: 9523 has a jaccard distance of 0.0 with uk_id: 12445 from the name column
9524,13429,ofac_id: 9524 has a jaccard distance of 0.03703703703703709 with uk_id: 13429 from the name column
9525,11042,ofac_id: 9525 has a jaccard distance of 0.19354838709677424 with uk_id: 11042 from the name column
9526,12444,ofac_id: 9526 has a jaccard distance of 0.023809523809523836 with uk_id: 12444 from the name column
9527,12446,ofac_id: 9527 has a jaccard distance of 0.025000000000000022 with uk_id: 12446 from the name column
